"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"39","2016-07-03","2016-07-03_18:58:42.259",626.603636517455,648.455474762895,638.984769778952,657.926179746837
"40","2016-07-03","2016-07-03_18:58:43.282",649.661723699797,650.567977690881,641.128885079158,660.007070302604
"41","2016-07-03","2016-07-03_18:58:53.543",652.863184560748,671.416130381562,662.197860624184,680.63440013894
"42","2016-07-03","2016-07-03_18:58:55.252",651.440152082624,674.827652530444,665.630508054769,684.024797006119
"43","2016-07-03","2016-07-03_18:59:00.461",695.626307881841,685.117473093418,675.960468828015,694.274477358822
"44","2016-07-03","2016-07-03_18:59:29.507",735.2583750134,739.423847663546,730.015210208563,748.832485118529
"45","2016-07-03","2016-07-03_18:59:30.115",735.2583750134,740.503607292547,731.08426280351,749.922951781584
"46","2016-07-03","2016-07-03_18:59:30.756",728.306503661384,741.639389086988,732.208623669241,751.070154504736
"47","2016-07-03","2016-07-03_18:59:31.467",728.306503661384,742.89609746241,733.452511836956,752.339683087864
"48","2016-07-03","2016-07-03_18:59:34.002",749.657846340978,747.350113578275,737.85963866411,756.840588492441
"49","2016-07-03","2016-07-03_18:59:43.582",754.200831770657,763.80311497028,754.124057711012,773.482172229548
"50","2016-07-03","2016-07-03_18:59:46.220",786.455674570771,768.227389818554,758.494780768965,777.959998868144
"51","2016-07-03","2016-07-03_18:59:49.186",746.186624812858,773.146396843113,763.353474004124,782.939319682102
"52","2016-07-03","2016-07-03_18:59:49.726",744.890341253726,774.035636289693,764.231751267131,783.839521312256
"53","2016-07-03","2016-07-03_18:59:50.528",761.742250173233,775.352712337211,765.532568725632,785.17285594879
"54","2016-07-03","2016-07-03_18:59:51.134",763.038570840879,776.345044321123,766.512637243269,786.177451398977
"55","2016-07-03","2016-07-03_18:59:53.200",773.257903636651,779.709566254014,769.835535737512,789.583596770516
"56","2016-07-03","2016-07-03_18:59:53.898",775.889765457231,780.839766627462,770.951753402148,790.727779852776
"57","2016-07-03","2016-07-03_18:59:54.497",774.573833078419,781.807040709485,771.907065964695,791.707015454276
"58","2016-07-03","2016-07-03_18:59:56.645",773.257903636651,785.255677323423,775.313140853973,795.198213792874
"59","2016-07-03","2016-07-03_18:59:57.387",771.941977132062,786.43968697881,776.482584329942,796.396789627678
"60","2016-07-03","2016-07-03_18:59:57.960",774.573833078419,787.351459647943,777.383161606838,797.319757689048
"61","2016-07-03","2016-07-03_18:59:58.460",769.310132934242,788.145245566572,778.167218178436,798.123272954709
"62","2016-07-03","2016-07-03_19:00:00.444",807.473023683307,791.278170227323,781.261930762344,801.294409692302
"63","2016-07-03","2016-07-03_19:00:01.086",782.469471408174,792.286510179794,782.258230792,802.314789567587
"64","2016-07-03","2016-07-03_19:00:06.519",781.513372854135,800.732023876596,790.618926631089,810.845121122102
"65","2016-07-03","2016-07-03_19:00:08.130",777.673514545845,803.205826635773,793.073232092717,813.338421178829
"66","2016-07-03","2016-07-03_19:00:08.690",777.673514545845,804.062446487055,793.923649928656,814.201243045453
"67","2016-07-03","2016-07-03_19:00:12.716",780.618231161163,810.170404224661,799.995279065369,820.345529383953
"68","2016-07-03","2016-07-03_19:00:14.348",759.849550979771,812.620873192094,802.434882867051,822.806863517138
"69","2016-07-03","2016-07-03_19:00:15.095",803.64517134116,813.737556290484,803.547278040707,823.927834540262
"70","2016-07-03","2016-07-03_19:00:16.494",807.493139120265,815.820508137735,805.62329529123,826.017720984241
"71","2016-07-03","2016-07-03_19:00:35.476",880.202191510312,842.969687974363,832.770663532134,853.168712416593
"72","2016-07-03","2016-07-03_19:00:36.461",878.897153537217,844.32035207768,834.123360918961,854.517343236399
"73","2016-07-03","2016-07-03_19:00:40.765",849.087527809553,850.152784034737,839.963964836962,860.341603232512
"74","2016-07-03","2016-07-03_19:00:42.279",870.942308296703,852.177374172198,841.990858605846,862.36388973855
"75","2016-07-03","2016-07-03_19:00:47.457",889.96361037309,858.993763548092,848.811230516869,869.176296579315
"76","2016-07-03","2016-07-03_19:01:17.838",917.786231429156,895.475390928015,885.129387546225,905.821394309804
"77","2016-07-03","2016-07-03_19:01:18.977",896.739862708758,896.721473342561,886.364591654223,907.078355030898
"78","2016-07-03","2016-07-03_19:01:20.111",912.834064840959,897.953039252899,887.585298838133,908.320779667664
"79","2016-07-03","2016-07-03_19:01:20.671",912.834064840959,898.557880384315,888.18478252977,908.930978238859
"80","2016-07-03","2016-07-03_19:01:21.246",914.072101882426,899.176619796005,888.798033001921,909.555206590089
"81","2016-07-03","2016-07-03_19:01:21.874",891.787904908021,899.849719944329,889.465160105958,910.234279782701
"82","2016-07-03","2016-07-03_19:01:22.473",928.928785871474,900.489134110011,890.098906313178,910.879361906845
"83","2016-07-03","2016-07-03_19:01:24.707",924.843097909241,902.851361993408,892.440383333889,913.262340652927
"84","2016-07-03","2016-07-03_19:01:28.206",873.829162475243,906.479414627492,896.037985152544,916.92084410244
"85","2016-07-03","2016-07-03_19:01:29.651",870.321217835167,907.951953680274,897.499022211686,918.404885148861
"86","2016-07-03","2016-07-03_19:01:35.555",937.933539384286,913.810291500062,903.320175644393,924.300407355732
"87","2016-07-03","2016-07-03_19:01:37.724",941.266514905517,915.898057250434,905.399435938613,926.396678562256
"88","2016-07-03","2016-07-03_19:01:39.203",957.194539244665,917.301611739417,906.799152202464,927.804071276369
"89","2016-07-03","2016-07-03_19:01:40.078",953.518794556782,918.124286526806,907.620372334507,928.628200719104
"90","2016-07-03","2016-07-03_19:01:40.783",940.301329222361,918.782955666762,908.278335238839,929.287576094684
"91","2016-07-03","2016-07-03_19:01:41.418",925.82100650133,919.373031396186,908.868144122259,929.877918670114
"92","2016-07-03","2016-07-03_19:01:42.441",928.234362917356,920.317276291214,909.812723592717,930.821828989711
"93","2016-07-03","2016-07-03_19:01:43.868",944.942166066475,921.621226363011,911.118791802957,932.123660923066
"94","2016-07-03","2016-07-03_19:01:45.585",992.728184444386,923.14844735351,912.653657523801,933.64323718322
"95","2016-07-03","2016-07-03_19:01:46.286",951.068313686006,923.753597013554,913.264101894298,934.243092132809
"96","2016-07-03","2016-07-03_19:01:50.059",913.938375176875,926.835170268806,916.393986196057,937.276354341555
"97","2016-07-03","2016-07-03_19:01:51.306",890.145849231691,927.791093224011,917.372550345177,938.209636102846
"98","2016-07-03","2016-07-03_19:01:51.859",938.921849228635,928.205456881578,917.797906349736,938.61300741342
"99","2016-07-03","2016-07-03_19:01:52.407",953.198728055435,928.610383452289,918.214273709222,939.006493195357
"100","2016-07-03","2016-07-03_19:01:56.009",913.658893054665,931.135954168085,920.827129815182,941.444778520987
"101","2016-07-03","2016-07-03_19:01:56.604",926.102136783069,931.531261665373,921.238618190729,941.823905140017
"102","2016-07-03","2016-07-03_19:01:58.664",925.606870607997,932.85439018595,922.620871103518,943.087909268382
"103","2016-07-03","2016-07-03_19:01:59.183",940.645207761334,933.176907609983,922.958948353526,943.394866866439
"104","2016-07-03","2016-07-03_19:01:59.759",937.174776894673,933.529881878081,923.329459172349,943.730304583812
"105","2016-07-03","2016-07-03_19:02:05.878",985.407851007603,936.97813287082,926.974694778926,946.981570962714
"106","2016-07-03","2016-07-03_19:02:11.601",990.895699838976,939.764103947365,929.943850430172,949.584357464559
"107","2016-07-03","2016-07-03_19:02:13.430",963.863183479575,940.578348657167,930.812432127744,950.34426518659
"108","2016-07-03","2016-07-03_19:02:14.040",966.213771607167,940.842573607506,931.09409139899,950.591055816022
"109","2016-07-03","2016-07-03_19:02:17.772",1003.96555215545,942.386270997004,932.735248242761,952.037293751247
